,Company Name,Industry,Symbol,Series,ISIN Code,BSE_CODES
95,Heritage Foods Ltd.,CONSUMER GOODS,HERITGFOOD,EQ,INE978A01027,519552
96,Himadri Speciality Chemical Ltd.,CHEMICALS,HSCL,EQ,INE019C01026,500184
97,Hindustan Copper Ltd.,METALS,HINDCOPPER,EQ,INE531E01026,513599
98,Huhtamaki India Ltd.,INDUSTRIAL MANUFACTURING,HUHTAMAKI,EQ,INE275B01026,509820
99,ICRA Ltd.,FINANCIAL SERVICES,ICRA,EQ,INE725G01011,532835
100,IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI,EQ,INE008A01015,500116
101,IDFC Ltd.,FINANCIAL SERVICES,IDFC,EQ,INE043D01016,532659
102,IFB Industries Ltd.,CONSUMER GOODS,IFBIND,EQ,INE559A01017,505726
103,IIFL Finance Ltd.,FINANCIAL SERVICES,IIFL,EQ,INE530B01024,532636
104,IOL Chem and Pharma Ltd.,PHARMA,IOLCP,EQ,INE485C01011,524164
105,IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB,EQ,INE821I01014,532947
106,IRCON International Ltd.,CONSTRUCTION,IRCON,EQ,INE962Y01021,541956
107,India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012,530005
108,Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,EQ,INE069I01010,532832
109,Indiamart Intermesh Ltd.,IT,INDIAMART,EQ,INE933S01016,542726
110,Indian Bank,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011,532814
111,Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX,EQ,INE022Q01020,540750
112,Indian Overseas Bank ,FINANCIAL SERVICES,IOB,EQ,INE565A01014,532388
